"タブのカテゴリー:","Tab Category:"
"更新を確認する","Check Update"
"アドオンの更新を確認する","Check add-on update"
"アドオンを更新する","Update add-on"
"更新:","Update:"
"更新する","Update Now"
"手動で更新:","Manual Update:"
"更新はありません","No updates are available"
"最新リリースバージョンに更新する","Update to the latest release version"
"自動ボーンロール","Auto Bone Roll"
"自動でボーンロールを設定する機能を有効にします","Enable Auto bone roll"
"自動ウェイト","Auto Bone Weight"
"自動でウェイトを設定する機能を有効にします","Enable Auto bone weights"
"オフセット","Offset"
"オフセット値","Offset value"
"ボーンを作成するとき、位置のオフセットを有効にします","Enable Bone location offset"
"ベース名","Base Name"
"ボーンのベース名","Base of bone name"
"区切り文字","Separator"
"ボーン名の区切り文字","Bone name separator"
"接頭辞","Prefix"
"ボーン名の先頭につける文字","Bone name prefix",
"接尾辞","Suffix"
"ボーン名の末尾につける文字","Bone name suffix"
"連番の開始番号","Start Number"
"自動で割り振られる連番の開始番号","Starting number of bone name"
"連番の桁数","Zero-padding"
"自動で割り振られる連番の桁数","Zero-padding of digits in bone names"
"一つ前に作成したボーンを、親ボーンに設定します","Set the previously created bone as the parent"
"ボーンに親があるとき、ボーンのヘッドを親ボーンのテールの位置に接続します","When Bone has a parent,bone's head is stuck to the parent's tail"
"Create Bone:選択した順序で辺と同じ位置にボーンを作成","Create Bone:Selected Edge Order"
"選択した辺の順序で、辺と同じ位置にボーンを作成します","Creates bones from selected edge order"
"Create Bone:選択した順序で辺ループの中点にボーンを作成","Create Bone:Midpoint of selected Edge Loop Oder"
"2つ以上選択した辺ループの順序で、辺ループの中点にボーンを作成します","Creates bones at the midpoint of selected edge loop order"
"ボーンを作成:","Create Bone:"
"名前の表示例:","Example of name display:"
"選択した順序で辺と同じ位置にボーンを作成","Selected Edge Order"
"選択した順序で辺ループの中点にボーンを作成","Midpoint of Selected Edge Loop Oder"
"このメッシュには辺がありません","This mesh does not have edges"
"1つ以上辺を選択してください","Select at least one edge"
"このメッシュには複数の辺がありません","This mesh does not have multiple edges"
"2つ以上ループ辺を選択してください","Select at least two edge loops"
"空白の名前は使用できません","No blank names are allowed"
"頂点グループはすでに作成されています","The vertex group has already been created"
